text,intents
I am looking for a restaurant that is expensive and is in the east part of town.,find_restaurant
I also need to find a restaurant. Preferably one that serves Jamaican food. Can you find that for me?,find_restaurant
I'm looking to dine at a restaurant in the centre that serves Austrian food. Can you help?,find_restaurant
Could you help me find a moderate priced restaurant in the centre?,find_restaurant
"Hello, I am looking for a moderately priced restaurant that serves fusion food.",find_restaurant
"Yes, are there any modern american restaurants in the center of town? Something expensive.",find_restaurant
I want to find a restaurant in the south part of town serving singaporean food.,find_restaurant
I need a expensive restraint om cambridge in the centre,find_restaurant
I'm looking for a restaurant. The restaurant should be in the cheap price range and should be in the north.,find_restaurant
I'm trying to figure out my eating options. Are there any expensive restaurants in the centre?,find_restaurant
I need a restaurant that serves scandinavian food please.,find_restaurant
Any fancy restaurants in town?,find_restaurant
"Hello. I would like to know if you serve African food. If you do, can I please get the address, phone number and postcode of the venue?",find_restaurant
I need to find a restaurant in Cambridge called the Golden Wok please.,find_restaurant
"That is great. Thank you, goodbye.",find_restaurant
"Yes please, I need to find a restaurant in the same area as my hotel. I don't care about the type of food.",find_restaurant
I'm looking for a restaurant that serves swedish food,find_restaurant
I'm looking for a restaurant on the west side that serves basque food.,find_restaurant
No I do not I would like a 4 star guesthouse in the west with free parking.,find_restaurant
Also want to find some place to eat. West part of town with an expensive price range.,find_restaurant
I want to find a place called Shiraz Restaurant please.,find_restaurant
Thank you. I'm also looking for an Indian restaurant in the expensive price range. Is there anything like that around?,find_restaurant
I'd like a moderately priced restaurant in the east part of town.,find_restaurant
"Thank you for your help, I am also looking for a restaurant that serves African food in the moderate price range, can you help?",find_restaurant
north part of town restaurant please,find_restaurant
I want a moderately priced restaurant please.,find_restaurant
I'm looking for a restaurant in the south that serves austrian food.,find_restaurant
"Hi, I am looking for a restaurant in the centre area where I can eat russian food.",find_restaurant
"Hello, I am looking to book a restaurant in the centre in Cambridge and be moderate in price.",find_restaurant
I'm also looking for a restaurant in the same area.,find_restaurant
I am looking for a place to dine that serves modern European food that is located in the Centre. What is your suggestion for this type of restaurant?,find_restaurant
Yes I am looking for a moderately priced Italian restaurant.,find_restaurant
Do you have a cheap restaurant that serves indian food. In the mood for curry.,find_restaurant
I'm also interested in a restaurant in the centre with the same price range. Any recommendations?,find_restaurant
I am also looking for an Indian restaurant in the same area.,find_restaurant
Hi. Can you tell me if any restaurants in the area serve halal food?,find_restaurant
Could you assist me in finding a restaurant? We are going all out so would like an expensive one near the hotel.,find_restaurant
I am looking for Ian hong house,find_restaurant
i am looking for a place to dine. The restaurant should be in the west and should serve swiss food.,find_restaurant
Wonderful! Can you also recommend a restaurant in the east for me?,find_restaurant
I'm looking for a restaurant the serves spanish food.,find_restaurant
I also need a place to dine in the centre that serves seafood.,find_restaurant
"I've heard about Royal Spice, is it a very good restaurant? What is the price like?",find_restaurant
I need to find a moderately priced place to dine in the centre please.,find_restaurant
"Hello, I am looking for a restaurant that serves Japanese food.",find_restaurant
Is there any place serving cheap indian food?,find_restaurant
"Yes, I'd like to find an Indian restaurant in the north please.",find_restaurant
I'm looking for a place to dine. The restaurant should be in the expensive price range and should be in the centre.,find_restaurant
I am looking for a restaurant that serves Catalan food in any price range.,find_restaurant
I am looking for a restaurant in the center that serves asian oriental food.,find_restaurant
"I'm also looking for a cheap place to eat in the centre area, what do you recommend?",find_restaurant
Yes I am looking for someplace to eat that serves Scottish food that is in the expensive price range.,find_restaurant
"Can you recommend a good Turkish restaurant, moderately priced, in the centre of town?",find_restaurant
"Yes, I'd like to find an indian restaurant in the centre of town.",find_restaurant
I am looking for expensive Corsica food.,find_restaurant
I'd also like to find an expensive Indian restaurant.,find_restaurant
I want to eat at an expensive European restaurant.,find_restaurant
"A moderately priced restaurant in the west part of town, please. Give me their address and phone number, too.",find_restaurant
Are there any expensive european restaurants around?,find_restaurant
i am looking for a place to eat in the centre that serves creative food.,find_restaurant
Could you help me find an Austrian restaurant please?,find_restaurant
Yes can you help me find a restaurant? I'm looking for something expensive in the west.,find_restaurant
I am looking for a cheap Asian Oriental restaurant.,find_restaurant
I am also wanting to find out some info on a restaurant called The Gardenia.,find_restaurant
"Hi there. I've heard great things about the Grafton Hotel Restaurant. Can you find me some details about it, please?",find_restaurant
I would like to find a cheap restaurant. It should be in the North side of town.,find_restaurant
I am looking for a restaurant in the north that is in the cheap price range.,find_restaurant
Thanks so much! Can you also help me find a restaurant in the centre that's mid-priced?,find_restaurant
I am looking for a restaurant.,find_restaurant
I am looking for a place to dine! I would prefer chinese food located in the north.,find_restaurant
How about one in the north?,find_restaurant
I'm looking for a restaurant that serves Indian food in the centre of town.,find_restaurant
I am looking for a place to dine in the east part of Cambridge that serves indian food.,find_restaurant
"I also am looking for an expensive restaurant in the area of south, thank you",find_restaurant
What is it's phone number? Also are there any expensive British restaurants in town?,find_restaurant
I need a place to dine in the expensive price range serving north indian food,find_restaurant
"Yes, I am also looking for a place to dine. I want it to be expensive and in the north area.",find_restaurant
Thanks. I am also looking for a cheap Chinese restaurant. Can you help me with this?,find_restaurant
Thank you! I'm also looking for a great place to eat in the centre.,find_restaurant
"No thanks, but I am looking for an expensive restaurant in the center of town. Can you tell me what's available?",find_restaurant
"I am looking for Nandos city centre in Cambridge, can you give me directions?",find_restaurant
"Hi, I need a recommendation for a restaurant in town.",find_restaurant
"Great, thanks. Can you also provide me with some info on a restaurant called Travellers Rest?",find_restaurant
"I'd like to get some Latin American food, nothing cheap, but shouldn't be expensive either.",find_restaurant
Find me a moderately cheap restaurant in Cambridge that serves russian food,find_restaurant
"Not at the moment. I need info on a place to dine, in the centre area that serves Italian food.",find_restaurant
I'm sorry I am also looking for a restaurant called bedouin.,find_restaurant
"Hi, I'm trying to find a good place to eat. I heard about restaurant alimentum. What can you tell me about it?",find_restaurant
I looking for an Italian restaurant that offers cheap food.,find_restaurant
"Thank you, I appreciate it. I also need some help finding an African restaurant.",find_restaurant
I'm looking for a particular restaurant called charlie chan.,find_restaurant
Yes information regarding a particular restaurant called Michael House Cafe.,find_restaurant
I'm looking for a cheap restaurant in the west.,find_restaurant
I want to find a moderate price restaurant and serving austrian food.,find_restaurant
Thanks so much. Could I bother you to help me find an expensive Chinese restaurant?,find_restaurant
"I am looking for a moderately priced restaurant in the south part of town, please.",find_restaurant
Is there a restaurant in the centre of town serving halal food?,find_restaurant
How about getting me the address and postcode and entrance fee for The Wandlebury. I also am looking for a restaurant called La Mimosa.,find_restaurant
Can you find a restaurant in the west that serves british food?,find_restaurant
"I'm looking for a restaurant called pizza express Fen Ditton, do you have any information on it?",find_restaurant
I'm looking for somewhere to dine in Cambridge.,find_restaurant
"Not right now, thanks. As I'll be in the center part of town I'd like to find an expensive restaurant there. Do you have any suggestions?",find_restaurant
Is there any chinese food around me right now?,find_restaurant
I am looking for an Italian restaurant in the west part of town. Could I also get the phone number and address of the restaurant?,find_restaurant
"Hi, I'd like to try some Indian food. What do you have?",find_restaurant
I also need a cheap restaurant in the same area as the attraction.,find_restaurant
I'm looking for a Lebanese restaurant that is expensive in price.,find_restaurant
Yes I am looking to find a restaurant that is expensive in the south of town.,find_restaurant
"I do not care. Just something in the south, moderate range in price.",find_restaurant
I am looking for an expensive restaurant in the centre.,find_restaurant
"Can you recommend a restaurant that serves French food? Not too expensive, please.",find_restaurant
i am looking for a particular restaurant. Its name is called golden wok.,find_restaurant
"Yes, i need to find a restaurant to visit in the centre of town. Preferably in the moderate price range.",find_restaurant
Can you tell me about any expensive places to dine in the east side?,find_restaurant
Great thanks. Im also looking for an african restaurant on the north side of town,find_restaurant
"No, thanks just needed the ID. Can you please look for a restaurant for me in the centre? In the moderate price range preferably.",find_restaurant
Hi can you help me find a cheap restaurant in the centre of town?,find_restaurant
I'm looking for an expensive restaurant in the Centre. Can you help me find one?,find_restaurant
I am looking for a cheap restaurant in the east part of town.,find_restaurant
I'm also looking for a restaurant,find_restaurant
"Hello. I'm looking for a place to dine tonight. I wouldn't like anything expensive, and I'd prefer something in the city center.",find_restaurant
I am looking for a moderately priced restaurant in east Cambridge.,find_restaurant
Yes! Can you help me find a restaurant near the hotel?,find_restaurant
I'm looking for a good Chinese place with a cheap price range.,find_restaurant
Hi I am looking for a restaurant in the centre of town serving japanese food,find_restaurant
"Can you recommend one that is in the centre? I need to know the entrance fee, please.",find_restaurant
"Hi. I am looking for international food, hopefully someplace moderately priced.",find_restaurant
"I am looking for a restaurant in any area that serves spanish food, what is available?",find_restaurant
"I need a moderate place to eat, same area as my hotel.",find_restaurant
I am looking for a chinese restaurant.,find_restaurant
I am looking for a cheap restaurant in the centre part of town.,find_restaurant
Please provide me information on the restaurant one seven.,find_restaurant
I'm looking for a nice expensive restaurant in the south part of town,find_restaurant
Hi. Can you help me find a restaurant?,find_restaurant
"Need a place to dine, chinese near centre.",find_restaurant
I'm looking for some info on kohinoor.,find_restaurant
Thank you I am also looking for a restaurant in the same area as the hotel serving expensive chinese food.,find_restaurant
I want a restaurant with corsica food please.,find_restaurant
What are the nicest restaurants in the center of town?,find_restaurant
Hello! Can you help me find a particular restaurant?,find_restaurant
"Hey, could you tell me if there are any panasian restaurants in the east side of town?",find_restaurant
I'm looking for a pricey Indian place. I wanna show off to my date.,find_restaurant
I need a cheap place to dine please.,find_restaurant
I need a restaurant that serves catalan food and it should be in the west.,find_restaurant
"I also am looking to dine out. Something European, and expensive.",find_restaurant
"Hello, I'm looking for an expensive restaurant located in the south part of town.",find_restaurant
"Yes, I'd like to find a cheap Chinese restaurant.",find_restaurant
Can you check if there are any moderately priced restaurants in the centre of town?,find_restaurant
"I'm looking for a posh British restaurant to take my bird to, know of one?",find_restaurant
I am looking for a place to dine that serves Sri Lankan food in the moderate price range.,find_restaurant
I also need a Thai restaurant in the moderate price range.,find_restaurant
Is there an expensive restaurant serving caribbean food?,find_restaurant
I want to find information on a restaurant called Wagamama.,find_restaurant
No but I also need and expensive restraint in the center area.,find_restaurant
I'm looking for a portuguese restaurant in the south side.,find_restaurant
"Yes, could you help me find a nice place to dine in the north.",find_restaurant
I need to find a cheap place to eat.,find_restaurant
"Hello, I am looking for info on a restaurant in the west that serves french food.",find_restaurant
Can you suggest some places to dine?,find_restaurant
"I don't have a preference for an area. I will need free wifi, now that I think about it.",find_restaurant
What can you tell me about the bangkok city restaurant?,find_restaurant
Thank you can you help me find a restaurant too?,find_restaurant
I am also looking for a Pizza Hut.,find_restaurant
"Thank you , can you help me find an Indian restaurant in the centre?",find_restaurant
"I have to book a place to eat that serves irish food and is located in the centre, can you help me?",find_restaurant
i need to go eat,find_restaurant
One person starting Wednesday. Need the reference number and also looking for a Cuban restaurant in the expensive price range.,find_restaurant
"I want a cheap swedish restaurant in the centre, please.",find_restaurant
Thank you. I also need a place to eat in the city centre.,find_restaurant
what is a good tourist spot?,find_restaurant
Could you help me finding some place to eat for dinner?,find_restaurant
"Yes, I also need the postcode, area, and food type for a place called Royal Standard.",find_restaurant
Can you help me find an expensive restaurant in the center part of town? Thanks.,find_restaurant
"Yes, I'd like to find an Indian restaurant in the west area also please.",find_restaurant
I would like some information of the restaurant called Royal Standard.,find_restaurant
I'm looking for a gastropub food restaurant in the centre of Cambridge please.,find_restaurant
Are there any high end restaurants within the centre of town?,find_restaurant
I am looking for a restaurant in the west part of town that is in the cheap price range.,find_restaurant
I am also looking for a restaurant on the east side of town.,find_restaurant
"Thank you. I'm also looking for for a place to dine, I'd prefer an expensive place please.",find_restaurant
I am looking to eat at an expensively priced mexican place. Can you help me?,find_restaurant
I'm looking for a casual Sri Lankan restaurant.,find_restaurant
I am looking for a place to eat in the centre of town.,find_restaurant
I am looking for an expensive Italian restaurant.,find_restaurant
"great, thanks. I need also a chinese restaurant in moderate price range?",find_restaurant
Can you help me find a place to eat that is really cheap in the centre of town?,find_restaurant
"Ok, great thanks. Could you also give me information on a restaurant called la mimosa?",find_restaurant
Please help me find a place to dine that is moderately priced and is in the centre. Thanks.,find_restaurant
"Not today, I just need to get a train that will arrive by 08:45 in cambridge",find_restaurant
looking for barbeque food.,find_restaurant
"Hello, I'd like to dine at a cheap restaurant in the centre. What do you suggest?",find_restaurant
I'd like a european food place in the west please.,find_restaurant
Can you give me some information on the Bloomsbury Restaurant?,find_restaurant
Can you find me a spanish restaurant in the moderate price range?,find_restaurant
"Hello, I am looking for a moderately priced restaurant on the east side of town.",find_restaurant
I am looking for an expensive restaurant that serves russian food.,find_restaurant
I'm looking for a restaurant can you help?,find_restaurant
I want to find an expensive restaurant,find_restaurant
"Hello, I am looking for a moderately priced restaurant on the east part of town.",find_restaurant
"Yes, I'm looking for a moderately priced restaurant in the centre.",find_restaurant
"need a place to eat european food, expensive too.",find_restaurant
Great I'm also looking for an expensive restaurant in the west part of town,find_restaurant
"Hi, I am looking forward to trying some of your local restaurants. I do need help with some other places to go in town while I am there though.",find_restaurant
"No, but I would like to find a cheap priced south african restaurant.",find_restaurant
Hi! I'm looking for information on the Rice House restaurant.,find_restaurant
"Hello! I would like to go to a restaurant in the east, please.",find_restaurant
"Hello, I am looking for an expensive restaurant that serves fusion food.",find_restaurant
"I would like to book a popular, cheap restaurant.",find_restaurant
Thanks! I'm also looking for a restaurant named efes restaurant.,find_restaurant
"Yes, I need a restuarant. I want something on the south side. Expensive.",find_restaurant
"Thank you, I am also looking for an Italian restaurant in the centre.",find_restaurant
Can you help me find a place to eat that serves unusual food in the centre?,find_restaurant
"You know I also need someplace to eat in that is also cheap, and also in the south area.",find_restaurant
Thanks for that. Please find me a Welsh restaurant in the center,find_restaurant
I am looking for some restaurant recommendations.,find_restaurant
"I'm looking for a restaurant, something moderately priced.",find_restaurant
"Hello, I am looking for a restaurant that serves vegetarian food.",find_restaurant
I am also looking for a restaurant in the West and really want to have Brazilian food.,find_restaurant
"No, thanks. Can you find a gastropub restaurant in the centre, please?",find_restaurant
I am looking for a restaurant in the cheap price range that serves British food.,find_restaurant
"Yes, I need a place to have dinner. I'm thinking italian and expensive.",find_restaurant
"No thanks, I do need the reference number though. I would like to find a Chinese restaurant in the center though.",find_restaurant
I need to find a restaurant in anatolia,find_restaurant
Yes I would like a good steak.,find_restaurant
Is it possible to get any Greek food in the centre part of town?,find_restaurant
I am looking for a cuban restaurant in the north part of town.,find_restaurant
I am trying to find a restaurant in the south of the city that serves modern American food.,find_restaurant
I am looking for a particular restaurant. It is called pizza hut city centre.,find_restaurant
I would like to know more about a restaurant called the panahar if you could help?,find_restaurant
I need to find an expensive restaurant in Cambridge located somewhere in the north.,find_restaurant
I would like to find a Danish restaurant with a moderate price range.,find_restaurant
I want to find an expensive restaurant in the east part of town. What is the phone number and type of food?,find_restaurant
Can you get me information on a restaurant called golden house?,find_restaurant
I would like a restaurant in the east part of town that serves british food,find_restaurant
"I am looking for Korean food, in the Centre of town.",find_restaurant
I need a restaurant that serves european food please,find_restaurant
Are there any good Scottish restaurants in the centre?,find_restaurant
Is this hotel in the same area as the restaurant?,find_restaurant
"I need assistance finding a restaurant that is cheap and serves british food, can you help me?",find_restaurant
I'd like to find an expensive restaurant in the north part of town.,find_restaurant
Thanks! I'm also looking for a place to eat. What's the best Italian joint on the north side?,find_restaurant
I am looking for a cheap restaurant serving chinese food.,find_restaurant
I would like to find a restaurant in the centre.,find_restaurant
Anything near the restaurant will be fine.,find_restaurant
"I also need a restaurant, preferably one that serves portuguese food and is the same price point as my hotel.",find_restaurant
No thank you. I'm also looking for an expensive french restaurant.,find_restaurant
"Great! Can you also tell me if there are any austrian restaurants in town, preferably in the center?",find_restaurant
I need a restaurant,find_restaurant
I'm looking for a cheap indian restaurant.,find_restaurant
Are there any moderately priced restaurants in the southern part of town?,find_restaurant
"Hello, I am looking for a restaurant on the south side of town that serves unusual food.",find_restaurant
I am looking for a restaurant. The restaurant should be in the centre and should be in the moderate price range.,find_restaurant
I want portuguese food and I don't care about the price range. What is the address and phone number?,find_restaurant
Are there any Danish restaurants on the east side of town?,find_restaurant
I'm also looking for a cheap Chinese place to eat at.,find_restaurant
What restaurants in the centre are cheap?,find_restaurant
"Hi, I'd like information for the restaurant called Travellers Rest please.",find_restaurant
I am looking for a cheap restaurant on the north side of town.,find_restaurant
Is there a moderately priced restaurant in the centre?,find_restaurant
I am heading to Cambridge soon and am looking to find a nice expensive restaurant to eat at.,find_restaurant
I'm trying to find a restaurant that serves crossover food. Can you recommend anything?,find_restaurant
"Hello, I'm looking for a restaurant by the name of Cote. Can you find this for me and book a reservation please?",find_restaurant
I would like to find an expensive restaurant in the east part of town.,find_restaurant
I am looking for a place to dine,find_restaurant
"Yes, I'd also like to find an expensive restaurant in the west side of town.",find_restaurant
can i please have a cheap restaurant in the west ?,find_restaurant
"i want a place for dinner and serves a mexican food,where can i find it?please first pick for me a taxi to that place should be to the north.",find_restaurant
Can you help me find a restaurant in the north that is cheap?,find_restaurant
I am looking for a place to dine. The restaurant should be in the east and should be in the moderate price range,find_restaurant
I am also wanting to reserve a table at a place called Cote. Can you help me with that?,find_restaurant
Hello! I'm looking for a moderately priced restaurant in the centre.,find_restaurant
I need a restaurant in the same area as the hotel that serves international food.,find_restaurant
"Yes, can I have the address and postcode of the restaurant, please?",find_restaurant
I also need some help finding a place to eat while there. Can you help me with that?,find_restaurant
I am also looking to eat out. Expensive Welsh food.,find_restaurant
I'm looking for a great European restaurant. Can you help with that?,find_restaurant
Hi there. I am hoping you could help me find a british restaurant in town.,find_restaurant
I also need to book an expensive Chinese restaurant.,find_restaurant
I am looking to eat at a north restaurant in the expensive price range.,find_restaurant
"Hi, i'm looking for a local establishment that serves scottish cuisine. Could you recommend somewhere near the centre?",find_restaurant
need a restaurant serving turkish style venue,find_restaurant
Please find a cheap restaurant in the north.,find_restaurant
I would like to find a restaurant called Pipasha.,find_restaurant
IS there a high end restaurant that serves british cuisine in the same area?,find_restaurant
I want to find a restaurant serving gastropub food in the centre of town.,find_restaurant
Can you tell me if the restaurant Eraina is in Cambridge? Thank you.,find_restaurant
I am looking for an expensive restaurant in the west.,find_restaurant
Hello. I am looking for a recommendation for a place to eat.,find_restaurant
"Hi, I would like to find an expensive restaurant in the centre of cambridge please.",find_restaurant
I would like a malaysian restaurant in the centre of town.,find_restaurant
Where can we eat?,find_restaurant
I am also looking for a place to dine in the moderate price range with British food.,find_restaurant
"I am looking for a nice bistro in Cambridge, moderately priced would be good.",find_restaurant
I would like a restaurant that serves portuguese food,find_restaurant
I'd like to find a moderately priced Italian restaurant.,find_restaurant
"Thank you, I'm also looking for an expensive restaurant that serves European food.",find_restaurant
Hello! Can you help me find a restaurant somewhere in the center of Cambridge please?,find_restaurant
Can you find a restaurant that serves british food and is in the centre?,find_restaurant
"It appears that I forgot to book a restaurant reservation. I need something in the south in the same price range as the hotel, please.",find_restaurant
Yes I needed information about a particular restaurant.,find_restaurant
"Thanks. I am also looking for a particular restaurant, Restaurant One Seven. Can you find the address for me?",find_restaurant
"I'm looking for a restaurant in the South, I'd like to have indian food.",find_restaurant
"Yeah, I'm going to be looking for some british food.",find_restaurant
Can I have the reference number for the hotel booking? I'd also like information about a restaurant called Bedouin.,find_restaurant
I am looking for a place serving Indian food in the west.,find_restaurant
"Not yet.. just needed the ID. Also, looking for a place to dine in the center of town at a moderate price range.",find_restaurant
I need some information on a place to eat call the nirala.,find_restaurant
I need a restaurant in centre and in the expensive prince range,find_restaurant
"Yes, I also need a restaurant with Turkish food near the hotel in the centre area please.",find_restaurant
I need to find an expensive restauant that's in the south section of the city.,find_restaurant
"I would like a moderately prices restaurant in the East part of town. I would like the phone number and postcode, please.",find_restaurant
A french restaurant in the centre part of town. Please give me address and phone number.,find_restaurant
I need an expensive restaurant in the west of town.,find_restaurant
Do you have any restaurants in the center of town that serve The Americas cuisine?,find_restaurant
Please find me a place in the South that serves Chinese food,find_restaurant
"Wow, thanks. We want to eat at a restaurant called the India House, can you help me with that too?",find_restaurant
Could you recommend a Chinese restaurant for me to try?,find_restaurant
"Thanks for the room booking. Can you locate a restaurant for me, too? The name is pizza express Fen Ditton.",find_restaurant
I need to get to a restaurant known as the Lucky star,find_restaurant
Thank you for the reference number. Are there any cheap places to dine in the North area?,find_restaurant
I am also looking for thai food in centre please.,find_restaurant
"Hi, I'm looking for a Persian restaurnt in the north part of the city.",find_restaurant
I'm looking for a gastropub.,find_restaurant
i am looking for a restaurant in the expensive price range and should be in the centre part of town.,find_restaurant
"Yes, I am also looking to eat some north african food. Can you help me find a restaurant?",find_restaurant
"Hello, have you heard of the Royal Spice Restaurant by chance?",find_restaurant
I'm trying to find a moderately priced restaurant in the north part of town.,find_restaurant
Can you tell me about any Modern European places in the expensive range?,find_restaurant
I am looking for a place to dine.,find_restaurant
